Name,SMILES,Flavor type,Data resource
Hydrogen cyanide,C#N,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
"1,3-Dioxolane, 2-[(1Z)-2-phenylethenyl]-",C(=C\C1OCCO1)\c1ccccc1,Sweet,BitterSweet
4-O-  -Galactopyranosyl-D-mannopyranose,C.OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,Sweet,FlavorDB
carnosifloside IV,C/C(=C/CCC(C)C1CCC2(C)C3CC=C4C(CCC(OC5OC(CO)C(O)C(O)C5O)C4(C)C)C3(C)C(=O)CC12C)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Bitter,PlantMolecularTasteDB
Scandenoside R6,C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Sweet,BitterSweet
"2,4-Dimethyl-2-pentenoic acid",C/C(=C\C(C)C)C(=O)O,Sweet,BitterSweet
Carnosifloside 3,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,Bitter,BitterSweet
Carnosifloside VI,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,Sweet,BitterSweet
Gaudichaudioside A,C/C(=C\CO)CCC1=C(C=O)CC(OC2OCC(O)C(O)C2O)C2[C@@](C)(CO)CCC[C@@]12C,Sweet,"SweetenersDB, BitterSweet"
gaudichaudioside C,C/C(=C\CO)CCC1=C(CO)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CC(O)CC12C,Tasteless,PlantMolecularTasteDB
gaudichaudioside B,C/C(=C\CO)CCC1=C(CO)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CCCC12C,"Bitter, Sweet",PlantMolecularTasteDB
gaudichaudioside E,C/C(=C\CO)CCC1C(C)(O)CC(OC2OCC(O)C(O)C2O)C2C(C)(C)CC(O)CC21C,"Bitter, Sweet",PlantMolecularTasteDB
gaudichaudioside D,C/C(=C\CO)CCC1C(C)(O)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CCCC12C,Bitter,PlantMolecularTasteDB
Phytol,C/C(=C\CO)CCCC(C)CCCC(C)CCCC(C)C,Bitter,BitterSweet
Hymenoside B,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)c(O)c2)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,Bitter,BitterSweet
Hymenoside D,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)c(O)c2)[C@H]1OC(=O)Cc1ccc(O)cc1,Bitter,BitterSweet
Hymenoside C,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)cc2)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,Bitter,BitterSweet
Hymenoside A,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)cc2)[C@H]1OC(=O)Cc1ccc(O)cc1,Bitter,BitterSweet
Hymenoside E,C/C(=C\CO)CO[C@@H]1O[C@H](COC(=O)Cc2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,Bitter,BitterSweet
Hymenoside F,C/C(=C\CO)CO[C@@H]1O[C@H](COC(=O)Cc2ccc(O)c(O)c2)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)cc2)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,Bitter,BitterSweet
alpha-Methyl cinnamaldehyde,C/C(C=O)=C/c1ccccc1,Sweet,BitterSweet
ALPHA-METHYLCINNAMALDEHYDE,C/C(C=O)=C\c1ccccc1,Sweet,BitterSweet
Germacranolide,C/C1=C/[C@H]2OC(=O)[C@@H](C)[C@@H]2[C@@H](O)/C=C(/C)[C@@H](O)CC1,Bitter,BitterSweet
3-beta-hydroxy dihydrocostunolide,C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,Bitter,PlantMolecularTasteDB
3β-hydroxydihydrocostunolide (3HDC),C/C1=C\CC(O)/C(C)=C/[C@H]2OC(=O)[C@@H](C)C2CC1,Bitter,Natural_TAS2R_agonists
alpha-angeloyloxy latifolone,C/C=C(/C)C(=O)OC(C)C(=O)c1cc(OC)c2c(c1)OCO2,Bitter,PlantMolecularTasteDB
8-O-angeloyl-tovarol,C/C=C(/C)C(=O)OC1CC(C)=CCC/C(C)=C/C(O)C1C(C)C,Bitter,PlantMolecularTasteDB
Isobutyl angelate,C/C=C(/C)C(=O)OCC(C)C,Sweet,BitterSweet
TIGLIC ACID,C/C=C(\C)C(=O)O,Sweet,"AromaDB, BitterSweet"
H.g.-12 aglycon,C/C=C(\C)C(=O)OC1CC2C(CC=C3CC(O)CCC32C)C2(O)CCC(C(C)=O)C12C,Bitter,PlantMolecularTasteDB
Aglycon H.g.-12,C/C=C(\C)C(=O)OC1CC2C(CC=C3CC(O)CC[C@@]32C)[C@@]2(O)CCC(C(C)=O)[C@@]12C,Bitter,BitterSweet
H.g.-12,C/C=C(\C)C(=O)OC1CC2C(CC=C3CC(OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CCC32C)C2(O)CCC(C(C)=O)C12C,Bitter,PlantMolecularTasteDB
Hg-12,C/C=C(\C)C(=O)OC1CC2C(CC=C3CC(OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CC[C@@]32C)[C@@]2(O)CCC(C(C)=O)[C@@]12C,Bitter,BitterSweet
Ethyl tiglate,C/C=C(\C)C(=O)OCC,Sweet,BitterSweet
Phenethyl tiglate,C/C=C(\C)C(=O)OCCc1ccccc1,Sweet,"AromaDB, BitterSweet"
Benzyl tiglate,C/C=C(\C)C(=O)OCc1ccccc1,Sweet,"AromaDB, BitterSweet"
H.g.-12 (Hoodia Gordonii steroid glycoside),C/C=C(\C)C(=O)O[C@@H]1CC2C(CC=C3C[C@@H](OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CC[C@@]32C)[C@@]2(O)CC[C@H](C(C)=O)[C@@]12C,Bitter,Natural_TAS2R_agonists
azadirachtin,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@@H]4[C@@](O)(C(=O)OC)OC[C@@]14[C@@H]32,Bitter,PhytoMolecularTasteDB
Tiglic aldehyde,C/C=C(\C)C=O,Sweet,"AromaDB, Flavornet, BitterSweet"
(2Z)-2-ethylidenehexanal,C/C=C(\C=O)CCCC,Sweet,BitterSweet
Damascenone,C/C=C/C(=O)C1=C(C)C=CCC1(C)C,Sweet,"Food Flavor Laboratory, AromaDB, Flavornet, BitterSweet"
alpha-Damascone,C/C=C/C(=O)C1C(C)=CCCC1(C)C,Sweet,BitterSweet
2-Octen-4-one,C/C=C/C(=O)CCCC,Sweet,"AromaDB, BitterSweet"
Crotonic Acid Isobutyl Ester,C/C=C/C(=O)OCC(C)C,Sweet,BitterSweet
Hexyl 2-butenoate,C/C=C/C(=O)OCCCCCC,Sweet,BitterSweet
ethyl (E)-2-methylpent-3-enoate,C/C=C/C(C)C(=O)OCC,Sweet,BitterSweet
UNII-TD4E94AD7V,C/C=C/C/C=C/C(C)=O,Sweet,BitterSweet
Methyl sorbate,C/C=C/C=C/C(=O)OC,Sweet,BitterSweet
ETHYL SORBATE,C/C=C/C=C/C(=O)OCC,Sweet,BitterSweet
"2,4-HEXADIENAL",C/C=C/C=C/C=O,Sweet,"Off-flavor, AromaDB, Flavornet, BitterSweet"
"2,4-HEXADIEN-1-OL",C/C=C/C=C/CO,Sweet,BitterSweet
trans-pseudoisoeugenol 2-methyl butyrate,C/C=C/c1cc(OC)ccc1OC(=O)[C@@H](C)CC,Bitter,BitterSweet
Isoeugenol,C/C=C/c1ccc(O)c(OC)c1,Sweet,"AromaDB, Flavornet, BitterSweet"
Isoeugenyl phenylacetate,C/C=C/c1ccc(OC(=O)Cc2ccccc2)c(OC)c1,Sweet,BitterSweet
Methylisoeugenol,C/C=C/c1ccc(OC)c(OC)c1,Bitter,"AromaDB, BitterSweet"
trans-anethole,C/C=C/c1ccc(OC)cc1,Sweet,"Food Flavor Laboratory, SweetenersDB, Riechstoff-Lexikon - Index, AromaDB, BitterSweet"
Vanitrope,C/C=C/c1ccc(OCC)c(O)c1,Sweet,BitterSweet
senecionine,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,Bitter,PhytoMolecularTasteDB
ligstroside,C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)cc1,Bitter,PhytoMolecularTasteDB
cis-Ethyl crotonate,C/C=C\C(=O)OCC,Sweet,BitterSweet
"Crotonic acid, isobutyl ester",C/C=C\C(=O)OCC(C)C,Sweet,BitterSweet
Isoeugenol phenylacetate,C/C=C\c1ccc(OC(=O)Cc2ccccc2)c(OC)c1,Sweet,BitterSweet
aloperine,C1=C2CCCNC2C2CC1C1CCCCN1C2,Bitter,PlantMolecularTasteDB
CID 20849012,C1CC2COC(C1)O2.OCC1OC(O)C(O)C(O)C1O,Sweet,FlavorDB
Sparteine,C1CCN2CC3CC(CN4CCCCC34)C2C1,Bitter,"Natural_TAS2R_agonists, PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Spartein Sulfate Pentahydrate,C1CCN2CC3CC(CN4CCCCC34)C2C1.O.O.O.O.O.O=S(=O)(O)O,Bitter,BitterDB
Spartein sulfate,C1CCN2CC3CC(CN4CCCCC34)C2C1.O=S(=O)(O)O,Bitter,ChemTasteDB
Spartein Sulfate Pentahydrate,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1.O.O.O.O.O.O=S(=O)(O)O,Bitter,BitterSweet
Pyrrolidine,C1CCNC1,Bitter,"ChemTasteDB, FlavorDB, AromaDB, Flavornet, BitterSweet"
Piperidine,C1CCNCC1,Bitter,"ChemTasteDB, FlavorDB, BitterDB, BitterSweet"
Pentylenetetrazole,C1CCc2nnnn2CC1,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
Piperazine,C1CNCCN1,Bitter,"BitterSweet, ChemTasteDB, FlavorDB"
"1,3-DITHIOLANE",C1CSCS1,Sweet,BitterSweet
Narcobarbital,C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
Propallylonal,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
Butallylonal sodium salt,C=C(Br)CC1(C(C)CC)C(=O)N=C([O-])NC1=O.[Na+],Bitter,"BitterSweet, BitterDB, ChemTasteDB"
Butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
Cnicin,C=C(C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(=C)C21)C(O)CO,Bitter,"Natural_TAS2R_agonists, PlantMolecularTasteDB, BitterDB, ChemTasteDB"
atropamine,C=C(C(=O)OC1CC2CCC(C1)N2C)c1ccccc1,Bitter,PlantMolecularTasteDB
Cnicin,C=C(C(=O)O[C@H]1C/C(C)=C/CC/C(CO)=C/[C@H]2OC(=O)C(=C)[C@H]12)[C@H](O)CO,Bitter,BitterSweet
Cnicin,C=C(C(=O)O[C@H]1CC(C)=CCCC(CO)=C[C@H]2OC(=O)C(=C)[C@H]12)[C@@H](O)CO,Bitter,BitterSweet
cayaponoside B5,C=C(C)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3C=Cc4c(cc(OC5OC(CO)C(O)C(O)C5O)c(O)c4C)C3(C)C(=O)CC12C,Bitter,PlantMolecularTasteDB
glaucolide A,C=C(C)C(=O)OC1CC(C)(OC(C)=O)C(=O)CCC2(C)OC2C2OC(=O)C(COC(C)=O)=C12,Bitter,PlantMolecularTasteDB
vernolide,C=C(C)C(=O)OC1CC23OC2CCC(=CC2OC(=O)C(=C)C21)COC3O,Bitter,PlantMolecularTasteDB
3-Amino-3-({1-[(2-methylprop-2-enoyl)oxy]propan-2-yl}carbamoyl)propanoic acid,C=C(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,Sweet,"SweetenersDB, BitterSweet, ChemTasteDB"
VERNOLIDE,C=C(C)C(=O)O[C@H]1C[C@@]23O[C@@H]2CC/C(=C/[C@H]2OC(=O)C(=C)[C@H]12)CO[C@H]3O,Bitter,BitterSweet
Xanthohumol D,C=C(C)C(O)Cc1c(O)cc(OC)c(C(=O)C=Cc2ccc(O)cc2)c1O,Bitter,"PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Coriamyrtin,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,Bitter,"PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Picrotoxinin,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,Bitter,"Natural_TAS2R_agonists, PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Picrotoxin,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C.CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,Bitter,"BitterSweet, PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Tricyclocohumene,C=C(C)C1CC2(O)C(CC3C(=O)C(C(=O)C(C)C)=C(O)C32O)C1(C)C,Bitter,"BitterDB, ChemTasteDB"
Tricycloadhumene,C=C(C)C1CC2(O)C(CC3C(=O)C(C(=O)C(C)CC)=C(O)C32O)C1(C)C,Bitter,ChemTasteDB
Tricyclohumene,C=C(C)C1CC2(O)C(CC3C(=O)C(C(=O)CC(C)C)=C(O)C32O)C1(C)C,Bitter,"BitterDB, ChemTasteDB"
Dehydrotricyclocolupone,C=C(C)C1CC23C(=O)C(C(=O)C(C)C)=C(O)C(CC=C(C)C)(CC2C1(C)C)C3=O,Bitter,"BitterDB, ChemTasteDB"
Dehydrotricycloadlupone,C=C(C)C1CC23C(=O)C(C(=O)C(C)CC)=C(O)C(CC=C(C)C)(CC2C1(C)C)C3=O,Bitter,"BitterDB, ChemTasteDB"
Dehydrotricyclolupone,C=C(C)C1CC23C(=O)C(C(=O)CC(C)C)=C(O)C(CC=C(C)C)(CC2C1(C)C)C3=O,Bitter,"BitterDB, ChemTasteDB"
30950-27-7,C=C(C)C1CC=C(/C=N/O)CC1,Sweet,"SweetenersDB, BitterSweet"
carvone,C=C(C)C1CC=C(C)C(=O)C1,Pungent,"PhytoMolecularTasteDB, FlavorDB, AromaDB, PlantMolecularTasteDB, Flavornet"
CARVYL ACETATE,C=C(C)C1CC=C(C)C(OC(C)=O)C1,Sweet,"FlavorDB, AromaDB, Flavornet, BitterSweet"
Limonene,C=C(C)C1CC=C(C)CC1,"Bitter, Sweet","ChemTasteDB, PhytoMolecularTasteDB, Off-flavor, FlavorDB, AromaDB, PlantMolecularTasteDB, Flavornet"
Perillartine,C=C(C)C1CC=C(C=NO)CC1,"Bitter, Sweet, Sour","BitterSweet, PlantMolecularTasteDB, ChemTasteDB, FlavorDB"
Perillaldehyde,C=C(C)C1CC=C(C=O)CC1,Sweet,"ChemTasteDB, SweetenersDB, FlavorDB, Flavornet, BitterSweet"
PERILLYL ALCOHOL,C=C(C)C1CC=C(CO)CC1,Sweet,"BitterSweet, FlavorDB"
Dihydrocarveol,C=C(C)C1CCC(C)C(O)C1,Sweet,"BitterSweet, Flavornet, FlavorDB"
isopulegol,C=C(C)C1CCC(C)CC1O,Cool,"AromaDB, PlantMolecularTasteDB, FlavorDB"
Inermoside,C=C(C)C1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(CC(O)C4C(C)(CCC(=O)OC)C(C(=C)C)CCC43C)C12,Sweet,FlavorDB
1-Deoxychiisanoside,C=C(C)C1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(CC4OC(=O)CCC5(C)C(C(=C)C)CCC3(C)C45)C12,Sweet,FlavorDB
Pterocaryoside A,C=C(C)C1CCC2(C)C(CC(OC3OC(C)C(O)C(O)C3O)C3C(C(C)(O)CC=CC(C)(C)O)CCC32C)C1(C)CCC(=O)O,Sweet,"PlantMolecularTasteDB, ChemTasteDB"
Pterocaryoside B,C=C(C)C1CCC2(C)C(CC(OC3OCC(O)C(O)C3O)C3C(C(C)(O)CC=CC(C)(C)O)CCC32C)C1(C)CCC(=O)O,Sweet,"PlantMolecularTasteDB, ChemTasteDB"
Pterocaryoside B,C=C(C)C1CC[C@]2(C)[C@@H](CC(O[C@@H]3OCC(O)C(O)C3O)[C@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@@]32C)[C@]1(C)CCC(=O)O,Sweet,"SweetenersDB, BitterSweet"
Pterocaryoside A,C=C(C)C1CC[C@]2(C)[C@H](CC(O[C@@H]3OC(C)C(O)C(O)C3O)[C@H]3[C@H]([C@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@]1(C)CCC(=O)O,Sweet,"SweetenersDB, BitterSweet"
Coriamyrtin,C=C(C)C1[C@H]2C[C@]3(C)[C@]4(CO4)[C@H]4O[C@H]4[C@]3(O)[C@@H]1C(=O)O2,Bitter,BitterSweet
cayaponoside B,C=C(C)C=CC(O)C(C)(O)C1C(O)CC2(C)C3CCc4c(cc(OC5OC(CO)C(O)C(O)C5O)c(O)c4C)C3(C)C(=O)CC12C,Bitter,PlantMolecularTasteDB
N-(2-methylprop-2-enylidene)hydroxylamine,C=C(C)C=NO,Bitter,ChemTasteDB
Rhodinyl isovalerate,C=C(C)CCCC(C)CCOC(=O)CC(C)C,"Bitter, Sweet","ChemTasteDB, BitterSweet, BitterDB, FlavorDB"
Rhodinyl butyrate,C=C(C)CCCC(C)CCOC(=O)CCC,Sweet,"BitterSweet, FlavorDB"
Rhodinyl acetate,C=C(C)CCCC(C)CCOC(C)=O,Bitter,"ChemTasteDB, FlavorDB, BitterDB, BitterSweet"
Rhodinyl formate,C=C(C)CCCC(C)CCOC=O,"Bitter, Sweet","ChemTasteDB, BitterDB, FlavorDB"
Xanthohumol N,C=C(C)CCc1c(O)cc(OC)c(C(=O)C=Cc2ccc(O)cc2)c1O,Bitter,"BitterDB, ChemTasteDB"
2-Methylallyl butyrate,C=C(C)COC(=O)CCC,Sweet,"BitterSweet, FlavorDB"
Disodium 2-(β-methallyl)thio-5'-inosinate,C=C(C)CSc1nc2c(ncn2C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[Na+].[Na+],Umami,ChemTasteDB
Dihydrooridonin tetraacetate,C=C(C)OC12OCC3(C(OC(C)=O)CCC(C)(C)C3C1OC(C)=O)C1CCC3C(C)C(=O)C12C3OC(C)=O,Bitter,ChemTasteDB
(-)-Carvone,C=C(C)[C@@H]1CC=C(C)C(=O)C1,Sweet,"AromaDB, Flavornet, BitterSweet"
cis-Carvyl acetate,C=C(C)[C@@H]1CC=C(C)[C@H](OC(C)=O)C1,Sweet,"AromaDB, BitterSweet"
18031-40-8,C=C(C)[C@@H]1CC=C(C=O)CC1,Sweet,"Off-flavor, AromaDB, Flavornet, BitterSweet"
NOOTKATONE,C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,Bitter,"BitterSweet, Flavornet"
Isopulegol acetate,C=C(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,Sweet,"AromaDB, BitterSweet"
Pterocaryoside B,C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O,Sweet,BitterSweet
Pterocaryoside A,C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O,Sweet,BitterSweet
D-Limonene,C=C(C)[C@H]1CC=C(C)CC1,Sweet,"Food Flavor Laboratory, Off-flavor, Flavornet, BitterSweet"
Tricyclodehydroisohumulone,C=C(C)[C@H]1C[C@]23C([O-])=C(C(=O)CC(C)C)C(=O)[C@@]2(O)C(=O)C[C@@H]3C1(C)C,Bitter,BitterSweet
rotenoid,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,Bitter,PhytoMolecularTasteDB
Picrotoxinin,C=C(C)[C@H]1[C@@H]2C(=O)O[C@H]1[C@H]1OC(=O)[C@@]34O[C@@H]3C[C@]2(O)[C@@]14C,Bitter,BitterSweet
"Phenol, 2-methoxy-4-(1-methylethenyl)-",C=C(C)c1ccc(O)c(OC)c1,Sweet,BitterSweet
joazeiroside A,C=C(CC1OC2(O)C(C3CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)C2O)C1(C)O)C(C)C,Bitter,PlantMolecularTasteDB
Dehydrocyanaropicrin,C=C(CO)C(=O)OC1CC(=C)C2CC(=O)C(=C)C2C2OC(=O)C(=C)C12,Bitter,"PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Cynaropicrin,C=C(CO)C(=O)OC1CC(=C)C2CC(O)C(=C)C2C2OC(=O)C(=C)C12,Bitter,"ChemTasteDB, Natural_TAS2R_agonists, PlantMolecularTasteDB, BitterDB, BitterSweet"
hydroxyvernolide,C=C(CO)C(=O)OC1CC23OC2CCC(=CC2OC(=O)C(=C)C21)COC3O,Bitter,PlantMolecularTasteDB
,C=C(CO)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)C(=C)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,Bitter,BitterSweet
Hydroxyvernolide,C=C(CO)C(=O)O[C@H]1C[C@@]23O[C@@H]2CC/C(=C/[C@H]2OC(=O)C(=C)[C@H]12)CO[C@H]3O,Bitter,BitterSweet
tamarindienal,C=C(O)/C=C/C(=O)C=O.CC(=O)/C=C/C(=O)C=O,Bitter,PhytoMolecularTasteDB
Oridonin,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,Bitter,"PlantMolecularTasteDB, ChemTasteDB"
isodomedin,C=C1C(=O)C23C(O)CC4C(C)(C)C(OC(C)=O)CC(O)C4(C)C2CCC1C3O,Bitter,PlantMolecularTasteDB
umbrosin B,C=C1C(=O)C23C(O)CC4C(C)(C)CC(=O)CC4(C)C2CCC1C3O,Bitter,PlantMolecularTasteDB
umbrosin A,C=C1C(=O)C23C(O)CC4C(C)(C)CC(O)CC4(C)C2CCC1C3O,Bitter,PlantMolecularTasteDB
kamebanin,C=C1C(=O)C23C(O)CC4C(C)(C)CCC(O)C4(C)C2CCC1C3O,Bitter,PlantMolecularTasteDB
Trichodonin,C=C1C(=O)C23CC1CC(O)C2C1(COC(C)=O)C(CCC(C)(C)C1C=O)OC3=O,"Bitter, Tasteless","BitterSweet, PlantMolecularTasteDB, ChemTasteDB"
Nodosin,C=C1C(=O)C23CC1CC(O)C2C12COC(O)C1C(C)(C)CCC2OC3=O,Bitter,"PlantMolecularTasteDB, ChemTasteDB"
Monoacetylnodosin,C=C1C(=O)C23CC1CC(O)C2C12COC(OC(C)=O)C1C(C)(C)CCC2OC3=O,Tasteless,ChemTasteDB
Acetylisodonal,C=C1C(=O)C23CC1CC(OC(C)=O)C2C1(COC(C)=O)C(CCC(C)(C)C1C=O)OC3=O,Tasteless,ChemTasteDB
Shikokianin,C=C1C(=O)C23CC1CC(OC(C)=O)C2C12COC3(O)C(O)C1C(C)(C)CCC2OC(C)=O,Bitter,"PlantMolecularTasteDB, ChemTasteDB"
